date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2012-02-06,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PNJ,BVH,ITA,HPG,CTG,SJS,QCG,PVF,PVD,CII,SBT,VSH,KDH,DIG,HVG,GMD
2012-07-23,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PNJ,BVH,ITA,HPG,CTG,HSG,DRC,PVF,PVD,CII,SBT,VSH,NTL,DIG,MBB,GMD
2013-01-21,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PNJ,BVH,PGD,HPG,CTG,HSG,DRC,PVF,PVD,CII,SBT,VSH,CSM,DIG,MBB,GMD
2013-07-22,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PET,BVH,PGD,HPG,CTG,HSG,DRC,PVF,PVD,CII,SBT,VSH,CSM,PPC,MBB,GMD
2013-09-24,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PET,BVH,PGD,HPG,CTG,HSG,DRC,PVT,PVD,CII,SBT,VSH,CSM,PPC,MBB,GMD
2014-01-27,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PET,BVH,PGD,HPG,CTG,HSG,DRC,PVT,PVD,CII,ITA,VSH,CSM,PPC,MBB,GMD
2014-07-28,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,FLC,BVH,HCM,HPG,CTG,HSG,DRC,PVT,PVD,CII,ITA,VSH,CSM,PPC,MBB,GMD
2015-01-26,STB,VIC,SSI,MSN,FPT,HAG,KDC,HVG,DPM,VNM,REE,OGC,IJC,VCB,FLC,BVH,HCM,HPG,KBC,HSG,DRC,PVT,PVD,CII,ITA,VSH,CSM,PPC,MBB,GMD
2015-07-14,STB,VIC,SSI,MSN,FPT,HAG,KDC,HVG,DPM,VNM,REE,SJS,IJC,VCB,FLC,BVH,HCM,HPG,KBC,HSG,DRC,PVT,PVD,CII,ITA,VSH,CSM,PPC,MBB,GMD
2015-07-27,STB,VIC,SSI,MSN,FPT,HAG,KDC,HVG,DPM,VNM,REE,CTG,HHS,VCB,FLC,BVH,HCM,HPG,KBC,HSG,EIB,PVT,PVD,CII,ITA,VSH,CSM,PPC,MBB,GMD
2016-01-25,STB,VIC,SSI,MSN,FPT,HAG,KDC,HVG,DPM,VNM,REE,CTG,HHS,VCB,FLC,BVH,HCM,HPG,KBC,HSG,EIB,PVT,PVD,CII,ITA,NT2,SBT,PPC,MBB,GMD
2016-07-25,STB,VIC,SSI,MSN,FPT,HAG,KDC,HNG,DPM,VNM,REE,CTG,GAS,VCB,FLC,BVH,HCM,HPG,KBC,HSG,BID,MWG,PVD,CII,ITA,NT2,SBT,PPC,MBB,GMD
2017-01-23,STB,VIC,SSI,MSN,FPT,HAG,KDC,HNG,DPM,VNM,REE,CTG,GAS,VCB,BMP,BVH,CTD,HPG,KBC,HSG,BID,MWG,PVD,CII,ITA,NT2,SBT,DHG,MBB,GMD
2017-07-24,STB,VIC,SSI,MSN,FPT,NVL,KDC,SAB,DPM,VNM,REE,CTG,GAS,VCB,BMP,BVH,CTD,HPG,KBC,HSG,BID,MWG,PVD,CII,ROS,NT2,SBT,DHG,MBB,GMD
2018-01-22,STB,VIC,SSI,MSN,FPT,NVL,KDC,SAB,DPM,VNM,REE,CTG,GAS,VCB,BMP,BVH,CTD,HPG,PLX,HSG,BID,MWG,VJC,CII,ROS,NT2,SBT,DHG,MBB,GMD
2018-07-23,STB,VIC,SSI,MSN,FPT,NVL,KDC,SAB,DPM,VNM,REE,CTG,GAS,VCB,BMP,PNJ,CTD,HPG,PLX,HSG,VPB,MWG,VJC,CII,ROS,VRE,SBT,DHG,MBB,GMD
2019-02-11,STB,VIC,SSI,MSN,FPT,NVL,TCB,SAB,DPM,VNM,REE,CTG,GAS,VCB,VHM,PNJ,CTD,HPG,EIB,HDB,VPB,MWG,VJC,CII,ROS,VRE,SBT,DHG,MBB,GMD
2019-08-05,STB,VIC,SSI,MSN,FPT,NVL,TCB,SAB,DPM,VNM,REE,CTG,GAS,VCB,VHM,PNJ,CTD,HPG,EIB,HDB,VPB,MWG,VJC,BID,ROS,VRE,SBT,BVH,MBB,GMD
2020-02-03,STB,VIC,SSI,MSN,FPT,NVL,TCB,SAB,PLX,VNM,REE,CTG,GAS,VCB,VHM,PNJ,CTD,HPG,EIB,HDB,VPB,MWG,VJC,BID,ROS,VRE,SBT,BVH,MBB,POW
2020-07-22,STB,VIC,SSI,MSN,FPT,NVL,TCB,SAB,PLX,VNM,REE,CTG,GAS,VCB,VHM,PNJ,TCH,HPG,EIB,HDB,VPB,MWG,VJC,BID,ROS,VRE,SBT,KDH,MBB,POW
2020-02-01,STB,VIC,SSI,MSN,FPT,NVL,TCB,PDR,PLX,VNM,REE,CTG,GAS,VCB,VHM,PNJ,TCH,HPG,TPB,HDB,VPB,MWG,VJC,BID,BVH,VRE,SBT,KDH,MBB,POW
