date,close,volume
2020-08-21,788.5,472
2020-08-24,811,476
2020-08-25,809,425
2020-08-26,808.5,419
2020-08-27,815,308
2020-08-28,818.6,372
2020-08-31,819,388
2020-09-01,833,361
2020-09-03,844,410
2020-09-04,839.8,564
2020-09-07,819.9,1012
2020-09-08,827,1202
2020-09-09,831,1421
2020-09-10,824.1,1426
2020-09-11,826,819
2020-09-14,832,823
2020-09-15,831.9,2187
2020-09-16,834.4,8447
2020-09-17,832.1,32375
2020-09-18,846.3,111328
2020-09-21,848,130603
2020-09-22,850,134879
2020-09-23,854.1,132366
2020-09-24,853.1,110306
2020-09-25,854.9,100626
2020-09-28,862.9,92142
2020-09-29,854.1,121353
2020-09-30,859.8,158810
2020-10-01,867,114067
